METAL PIPE,ZOOMER,"50BP, decrease def and spd",Metal pipe drop with sound fx
MONKE MOMENT,MONKE,Focus Energy,"Spins around and glows red, very similar to overheat"
NORMAL PILL,NORMAL,"70 BP phy, change target to normal type","Sludge arc, sprite is a pill, target shakes on hit"
OOGA BOOGA,MONKE,40 BP,"Sprite ""jumps"" around, like at 100 friendship return, says cry and ""tackles"""
OwO,FURRY,100 BP,100 BP
PantStayBrown,STINKY,"Raise Def and SpD by 3 stages, toxic yourself",Sprite squishes down and turns brown
PEA SPLIT,BEAN,95bp 90 acc physical,
PEE-YEW!,STINKY,MUD SLAP,"Sludge, but with a stink cloud instead"
PEER PRESSURE,GUYS,110 BP,"Scary face, then opponent hit with impact marks like from twister"
PIKA BOLT,PIKACHU,"Thunderbolt, but double para chance","Thunderbolt, but double para chance"
PIKA PROTECT,PIKACHU,"Protect. If hit by contact move, target is paralyzed",Protect and thunderwave on self (if at same time)
PIKATTACK,PIKACHU,Body Slam,Body slam with pikachu cry
PILLOW FIGHT,GUYS,Double Slap,pillows instead of hands
PINTO POWER,BEAN,Growth,Growth Anim
PLUSH PUNCH,FLUFFY,"Thunder punch, but may put target to sleep","Target is punched, then fluff scatters off target"
PONDER,MAGIC,Calm Mind,Ponder the orb
PRIME SUB,PRIME,payday but better,payday sprite replaced with prime sub
PROTEST,LEFT,THRASH,"Bulk up"" quickly 3 times before ""Slam"
PUFF UP,FLUFFY,Charm (User fluffs up its fur to appear larger),User gets larger
RAWR XD,FURRY,Roar,"Roar, but with a different sound fx"
RIOT,RIGHT,THRASH,"Outrage (Spinning around, spewing sprites. if possible, spewing ""words"")"
ROCKET PUNCH,PIKACHU,60BP Priority move,Bullet Punch with pikachu cry
RODEO,OHIO,Flame charge,"loud ""YEEE HAW"" sound effect as sprite does double edge"
ROOTINTOOTIN,OHIO,Dragon Dance,"Shoot clouds out of sprite and go in a circle, like a cartoon character ""fuming up"""
SABOTAGE,SUS,SUS type Parting Shot,"Growl, then leave, so sort of opposite of roar"
SAMBA STRIKE,DANCE,40bp Physical,Maracas beat the target
SCREEN PEEK,GAMER,"Charge Move, has priority of extreme speed, 130 BP special","Screen goes black, user eyes shine"
SEND EMAIL,BORING,60bp phy Chance to flinch,Background becomes an exmaple email
SHOOT,GUN,Gigaton Hammer,"Gun sound, impact sprite. Very quick to the point"
SINGULARITY,TYPE,Applies TYPE type to self,Screen fades to white while conversion is being done on target
SIP COFFEE,BEAN,Heals 25% and raises speed,
SNOW PEA,BEAN,50bp Special May Freeze Target,
SNUG STRIKE,FLUFFY,80bp physical,"Cotton sprites piles on user then takes down target, removing fluff on contact"
SOMNIUM,DREAM,"90bp Special attack, 5% chance to put user to sleep","Moonlight/moonblast background, target is surrounded by music notes before hit"
SOY SHIELD,BEAN,Amnesia,
SPECTRAL SURGE,DREAM,Hydro pump,"Moonlight/moonblast background, pulse particle barrage target, target staggers back before one final stagger"
SQUAD GOALS,ZOOMER,WISH,Erratic clapping
SQUIRTING FLOWER,SILLY,Aerial Ace,"1 little bounce, then water gun"
STARSTRIKE,SPACE,90 damage Space coverage move,"draco meteor background, superpower projectile"
STATIC SHUFFLE,DANCE,"50bp physical, may paralyze opponent",Sprite bounces while electric spark effects gather before striking like in spark
STINK BOMB,STINKY,"40 Bp spread, decrease def by 1","mudbomb, but sound effect once it explodes is perish song"
SUGAR SNAP,BEAN,75bp Physical,
SWEET COCOA,BEAN,Charm,
TEDDY TUMBLE,FLUFFY,40bp physical,"User ""rolls around"" then tackles"
THE BITE OF 87,GAMER,OHKO,Guiotine but with screaming
TOON UP,SILLY,Recover,Cane from toontown spinning around target with cane tap dancing sound
TRANS RIGHTS,GENDER,Geomancy,"Do we have the rainbow from water + fire pledge? if so, just have that appear"
TWO TO TANGO,DANCE,Physical Round,"User jumps to left, then right, then ontop of target"
UH OH STINKY,STINKY,100% POISON to all adjactent,"Sprite grows, holds, then shrinks back down, sending out poison gas to everyone"
UNGA BUNGA,MONKE,70 BP,Strength plus cry
UNIONIZE,LEFT,Raises def and spdef of user and allies,3 pairs of hands clap at the same time
UNO REVERSE,???,Reverses Type matchup chart,"Uno card spins around, then stops with a ""sting"" (if you dont know what a sting is ask Cannons)"
UPLIFT,VIBE,90bp Special move,"User dances around while sky uppercut background appears, target turns pink and moves around too"
VENT,SUS,DIG,"Coats in harden ""armor"" for steel moves, then drops down with a squeak sound effect"
VIBE CHECK,VIBE,"Revenge - if mon gets attack then attacker ""failed the vibe check""","Exclamation point, then revenge"
VIBE SHIFT,VIBE,Push negative stat changes to target,"Skill Swap with ""silly music"" (?)"
WAIT,BORING,100 BP,"10 Seconds of nothing, thats it"
WARM HUG,FLUFFY,Paralyzes opponent,"User spins briefly, then target spins while fluff descends on it"
WAVEDASH,GENDER,Quick Attack,"Agility, but with melee controller clicking sounds"
WEDDING CAKE,SILLY,HYPER BEAM,"Mega Kick, except foot is exchanged with wedding cake"
WeDon'tWipe,STINKY,"No Retreat x2, toxic yourself","No retreat animation, turn self brown"
WOMBO COMBO,GAMER,Physical Round,"Both sprites ""wave dash"", but staggered, ends with them hitting the opponent"
