								
Pokemon 1	46	Spinda		-	Dizzy Punch	Sucker Punch	Dollar on a Bill	Disable
Pokemon 2	48	Dracovish		-	Fishious Rend	Ancient Power	Crunch	Dragon Rush
Pokemon 3	46	Walrein		-	Squirting Flower	Wedding Cake	Rest	Sleep Talk
Pokemon 4	48	Mr. Rime		-	Wedding Cake	Hypno Goggles	Toon Up	Blizzard
Pokemon 5	49	Falinks		Sitrus Berry	No Retreat	Unionize	Peer Pressure	Close Combat
Silly								
Phoebe	Level	Species [Form]		Item	Move 1	Move 2	Move 3	Move 4
Pokemon 1	48	Sableye	Prankster	Salac Berry	Toxic	Normal Pill	Substitute	5 Nights
Pokemon 2	49	Grimsnarl	Prankster	Salac Berry	Light Screen	Reflect	Thunder Wave	Darkest Lariat
Pokemon 3	50	Dusknoir	Pressure	Salac Berry	Protect	Shadow Punch	Infestation	5 Nights
Pokemon 4	49	Porygon-Z	Adaptability	Salac Berry	Tri Attack	Screen Peak	Nasty Plot	Ice Beam
Pokemon 5	51	Bewear	Fluffy	Salac Berry	Bite of 87	Plush Punch	Play Rough	5 Nights
Gamer								
Larry (Glacia)	Level	Species [Form]		Item	Move 1	Move 2	Move 3	Move 4
Pokemon 1	50	Golem		-	Stealth Rocks	Explosion	-	-
Pokemon 2	50	Raticate		-	Hyper Fang	Super Fang	Quick Attack	Crunch
Pokemon 3	52	Dunsparce	Serene Grace	-	File W9	9 to 5	Wait	Send Email
Pokemon 4	52	Unfeazant		-	Eat Cracker	Brave Bird	Send Email	Facade
Pokemon 5	53	Slaking	Truant	Sitrus Berry	Rest	Giga Impact	WeDontWipe	Feint Attack
Boring								
Sussy Baka	Level	Species [Form]		Item	Move 1	Move 2	Move 3	Move 4
Pokemon 1	52	Ditto	Imposter	-	Transform	-	-	-
Pokemon 2	54	Zoroark	Illusion	-	Sabotage	Vent	Ball Pit	Night Daze
Pokemon 3	53	Mimikyu	Disguise	-	Sabotage	Vent	Shadow Sneak	Swords Dance
Pokemon 4	53	Lickilicky	Oblivious	-	Sabotage	Vent	Glomp	Charm
Pokemon 5	55	Amoongus	Regenerator	Sitrus Berry	Sabotage	Vent	Spore	Foul Play
Sus								
Steven	Level	Species [Form]		Item	Move 1	Move 2	Move 3	Move 4
Pokemon 1	57	Wynaut	Shadow Tag	Focus Sash	Counter	Mirror Coat	Destiny Bond	Encore
Pokemon 2	55	Shedinja	Mold Breaker	-	Bad Time	Protect	Shadow Bone	Gaster Blaster
Pokemon 3	56	Deoxys	Pressure	-	Crab Rave	Crabhammer	Meteor Mash	Cosmic Power
Pokemon 4	56	Metagross	Clear Body	-	Singularity	Meteor Mash	Iron Head	Crab Rave
Pokemon 5	56	Latias	Levitate	-	Thunderbolt	Ice Beam	Calm Mind	Roost
Pokemon 6	58	Silvally	RKS System	E. Memory	Multi-Attack	-	-	-
1 Full Restore								
